time_iso8601,stars_cumulative
2019-08-27 00:00:00+00:00,1188
2019-08-28 00:00:00+00:00,1189
2019-08-29 00:00:00+00:00,1192
2019-09-02 00:00:00+00:00,1193
2019-09-03 00:00:00+00:00,1195
2019-09-04 00:00:00+00:00,1198
2019-09-05 00:00:00+00:00,1202
2019-09-06 00:00:00+00:00,1204
2019-09-08 00:00:00+00:00,1205
2019-09-09 00:00:00+00:00,1207
2019-09-10 00:00:00+00:00,1212
2019-09-11 00:00:00+00:00,1215
2019-09-12 00:00:00+00:00,1217
2019-09-13 00:00:00+00:00,1218
2019-09-14 00:00:00+00:00,1219
2019-09-17 00:00:00+00:00,1222
2019-09-18 00:00:00+00:00,1224
2019-09-19 00:00:00+00:00,1226
2019-09-20 00:00:00+00:00,1227
2019-09-22 00:00:00+00:00,1229
2019-09-24 00:00:00+00:00,1230
2019-09-25 00:00:00+00:00,1232
2019-09-26 00:00:00+00:00,1233
2019-09-29 00:00:00+00:00,1235
2019-09-30 00:00:00+00:00,1237
2019-10-02 00:00:00+00:00,1238
2019-10-03 00:00:00+00:00,1239
2019-10-06 00:00:00+00:00,1241
2019-10-07 00:00:00+00:00,1242
2019-10-08 00:00:00+00:00,1243
2019-10-09 00:00:00+00:00,1244
2019-10-10 00:00:00+00:00,1245
2019-10-11 00:00:00+00:00,1246
2019-10-13 00:00:00+00:00,1248
2019-10-14 00:00:00+00:00,1250
2019-10-16 00:00:00+00:00,1251
2019-10-17 00:00:00+00:00,1254
2019-10-18 00:00:00+00:00,1257
2019-10-19 00:00:00+00:00,1258
2019-10-20 00:00:00+00:00,1259
2019-10-22 00:00:00+00:00,1262
2019-10-24 00:00:00+00:00,1263
2019-10-25 00:00:00+00:00,1264
2019-10-28 00:00:00+00:00,1265
2019-10-29 00:00:00+00:00,1268
2019-10-30 00:00:00+00:00,1269
2019-10-31 00:00:00+00:00,1271
2019-11-01 00:00:00+00:00,1275
2019-11-02 00:00:00+00:00,1276
2019-11-05 00:00:00+00:00,1277
2019-11-06 00:00:00+00:00,1279
2019-11-07 00:00:00+00:00,1280
2019-11-08 00:00:00+00:00,1282
2019-11-09 00:00:00+00:00,1283
2019-11-11 00:00:00+00:00,1284
2019-11-12 00:00:00+00:00,1289
2019-11-13 00:00:00+00:00,1291
2019-11-15 00:00:00+00:00,1293
2019-11-16 00:00:00+00:00,1295
2019-11-17 00:00:00+00:00,1296
2019-11-18 00:00:00+00:00,1300
2019-11-19 00:00:00+00:00,1301
2019-11-20 00:00:00+00:00,1303
2019-11-21 00:00:00+00:00,1305
2019-11-22 00:00:00+00:00,1307
2019-11-25 00:00:00+00:00,1308
2019-11-26 00:00:00+00:00,1314
2019-11-27 00:00:00+00:00,1317
2019-11-28 00:00:00+00:00,1318
2019-11-29 00:00:00+00:00,1322
2019-12-02 00:00:00+00:00,1326
2019-12-03 00:00:00+00:00,1327
2019-12-04 00:00:00+00:00,1331
2019-12-05 00:00:00+00:00,1332
2019-12-06 00:00:00+00:00,1333
2019-12-08 00:00:00+00:00,1334
2019-12-09 00:00:00+00:00,1335
2019-12-10 00:00:00+00:00,1339
2019-12-11 00:00:00+00:00,1341
2019-12-12 00:00:00+00:00,1343
2019-12-13 00:00:00+00:00,1344
2019-12-15 00:00:00+00:00,1345
2019-12-16 00:00:00+00:00,1349
2019-12-17 00:00:00+00:00,1351
2019-12-18 00:00:00+00:00,1352
2019-12-19 00:00:00+00:00,1355
2019-12-20 00:00:00+00:00,1356
2019-12-23 00:00:00+00:00,1357
2019-12-24 00:00:00+00:00,1362
2019-12-25 00:00:00+00:00,1364
2019-12-27 00:00:00+00:00,1366
2019-12-29 00:00:00+00:00,1368
2019-12-30 00:00:00+00:00,1370
2019-12-31 00:00:00+00:00,1371
2020-01-02 00:00:00+00:00,1373
2020-01-03 00:00:00+00:00,1375
2020-01-05 00:00:00+00:00,1376
2020-01-07 00:00:00+00:00,1379
2020-01-08 00:00:00+00:00,1386
2020-01-09 00:00:00+00:00,1395
2020-01-10 00:00:00+00:00,1403
2020-01-11 00:00:00+00:00,1406
2020-01-12 00:00:00+00:00,1407
2020-01-13 00:00:00+00:00,1411
2020-01-14 00:00:00+00:00,1415
2020-01-15 00:00:00+00:00,1416
2020-01-16 00:00:00+00:00,1419
2020-01-17 00:00:00+00:00,1423
2020-01-19 00:00:00+00:00,1425
2020-01-20 00:00:00+00:00,1428
2020-01-28 00:00:00+00:00,1431
2020-01-29 00:00:00+00:00,1432
2020-01-31 00:00:00+00:00,1434
2020-02-01 00:00:00+00:00,1436
2020-02-02 00:00:00+00:00,1437
2020-02-06 00:00:00+00:00,1438
2020-02-07 00:00:00+00:00,1439
2020-02-08 00:00:00+00:00,1440
2020-02-10 00:00:00+00:00,1442
2020-02-13 00:00:00+00:00,1445
2020-02-14 00:00:00+00:00,1446
2020-02-16 00:00:00+00:00,1447
2020-02-17 00:00:00+00:00,1448
2020-02-18 00:00:00+00:00,1450
2020-02-19 00:00:00+00:00,1452
2020-02-22 00:00:00+00:00,1453
2020-02-23 00:00:00+00:00,1454
2020-02-25 00:00:00+00:00,1457
2020-02-26 00:00:00+00:00,1458
2020-02-27 00:00:00+00:00,1469
2020-02-28 00:00:00+00:00,1475
2020-02-29 00:00:00+00:00,1477
2020-03-02 00:00:00+00:00,1478
2020-03-03 00:00:00+00:00,1480
2020-03-04 00:00:00+00:00,1487
2020-03-05 00:00:00+00:00,1504
2020-03-06 00:00:00+00:00,1508
2020-03-07 00:00:00+00:00,1510
2020-03-10 00:00:00+00:00,1512
2020-03-11 00:00:00+00:00,1513
2020-03-12 00:00:00+00:00,1514
2020-03-13 00:00:00+00:00,1516
2020-03-14 00:00:00+00:00,1517
2020-03-15 00:00:00+00:00,1519
2020-03-16 00:00:00+00:00,1520
